ENTITY_IDENTIFIER,Author Full Name,Scopus ID,H-index,H5-2018,H5-2019,H5-2020,H5-2021,H5-2022,H5-2023,H5-2024,Citation Count,Citation per Publication Value,Academic Corporate Collaboration Rate,International Collaboration Rate
905919453,Michael Flessner,37088676400,12.0,3.0,4.0,2.0,5.0,7.0,8.0,7.0,233,5.974359,7.692308,7.692308
904303387,Elizabeth Gilbert,24525125200,30.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,382,6.9454546,1.8181818,41.81818
905846865,Michael Persia,6603076437,25.0,9.0,10.0,9.0,9.0,7.0,8.0,5.0,272,10.88,4.0,44.0
905918130,Song Li,58886189100,0.0,,,,,,,,0,0.0,0.0,0.0
905099098,Dan Eversole,6603303930,4.0,,,,,1.0,1.0,1.0,5,5.0,0.0,100.0
905094414,Cynthia Wood,7403538973,5.0,1.0,2.0,1.0,1.0,1.0,,1.0,27,13.5,0.0,50.0
905097782,Richard Helm,58938204000,0.0,,,,,,,,0,0.0,0.0,100.0
906577686,Michael Gutter,24536760100,14.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,50,3.8461537,0.0,23.076923
905676070,Hannah Scherer,57191955907,7.0,2.0,3.0,3.0,2.0,,,,0,0.0,0.0,0.0
904603853,Michael Klemba,6602217661,21.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,39,6.5,0.0,16.666668
905216412,Leigh Krometis,8570556500,19.0,7.0,7.0,8.0,9.0,8.0,8.0,5.0,291,11.192307,7.692308,11.538462
905424429,Ryan Senger,7004149012,20.0,7.0,6.0,5.0,5.0,8.0,9.0,8.0,224,9.333333,4.166667,8.333334
905842449,Venkataramana Sridhar,58938399800,0.0,,,,,,,,0,0.0,0.0,100.0
905155882,Sally Paulson,7005810261,12.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,74,6.1666665,16.666668,0.0
906004726,Haibo Huang,58960318600,0.0,,,,,,,,0,0.0,0.0,0.0
904325741,David Kuhn,58843677300,0.0,,,,,,,,0,0.0,0.0,0.0
905840574,Amanda Stewart,56386592000,15.0,3.0,4.0,7.0,9.0,11.0,9.0,7.0,471,15.193548,3.2258062,6.4516125
905917577,Laura Strawn,36060519300,20.0,6.0,6.0,5.0,8.0,9.0,10.0,9.0,462,10.266666,2.2222223,2.2222223
905169311,Deborah Good,57195852759,15.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,35,3.5,0.0,20.0
904421672,Young Ju,57205397541,1.0,,,1.0,1.0,1.0,1.0,,2,2.0,0.0,0.0
905909373,Vivica Kraak,6507879761,26.0,7.0,8.0,7.0,9.0,10.0,10.0,8.0,1849,36.2549,0.0,9.803922
905162240,Peter Doolittle,25924785500,10.0,3.0,3.0,1.0,1.0,1.0,,1.0,25,8.333333,0.0,0.0
904584542,Benjamin Corl,6602540982,34.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,74,5.285714,7.1428576,14.285715
905363742,Patrick Huber,57204302027,49.0,19.0,17.0,14.0,13.0,13.0,14.0,12.0,982,23.380953,40.476192,61.904762
905578557,Samer El-Kadi,13405326700,15.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,87,4.8333335,5.555556,16.666668
905828863,Gonzalo Ferreira,55432193200,10.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,121,4.0333333,3.3333335,16.666668
905675438,Michelle Rhoads,35607602500,15.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,95,6.3333335,0.0,0.0
905419659,Eva Colla'kova',6506615299,17.0,7.0,6.0,4.0,3.0,4.0,4.0,4.0,62,6.888889,0.0,11.111112
905505172,Guillaume Pilot,6701727810,21.0,5.0,4.0,6.0,6.0,5.0,4.0,4.0,226,20.545454,0.0,27.272728
905845746,Ryan Stewart,55253042700,19.0,4.0,6.0,8.0,10.0,13.0,13.0,11.0,1027,13.337663,1.2987013,51.94805
905271297,Christina Petersson-Wolfe,16302161800,14.0,3.0,4.0,6.0,4.0,5.0,4.0,2.0,121,11.0,45.454548,45.454548
905093594,John Jelesko,6602659194,15.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,14,2.3333333,0.0,0.0
904321438,William Frame,56411846300,6.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,45,5.0,11.111112,22.222223
904471778,Theresa Thompson,57195543863,1.0,,,1.0,1.0,1.0,,,5,5.0,0.0,0.0
905359538,Jason Grant,13410169900,12.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,131,10.076923,0.0,46.153847
